"Alias","refers_to"
"SRY","ENSG00000184895"
"TDF","ENSG00000184895"
"SRXX1","ENSG00000184895"
"SRXY1","ENSG00000184895"
"TDY","ENSG00000184895"
"OCA2","ENSG00000104044"
"BEY","ENSG00000104044"
"BEY1","ENSG00000104044"
"BEY2","ENSG00000104044"
"BOCA","ENSG00000104044"
"D15S12","ENSG00000104044"
"EYCL","ENSG00000104044"
"EYCL2","ENSG00000104044"
"EYCL3","ENSG00000104044"
"HCL3","ENSG00000104044"
"PED","ENSG00000104044"
"SHEP1","ENSG00000104044"
"HERC2","ENSG00000128731"
"RJS","ENSG00000128731"
"MTHFD1L","ENSG00000120254"
"DKFZP586G1517","ENSG00000120254"
"FLJ21145","ENSG00000120254"
"FTHFSDC1","ENSG00000120254"
