"id","Name","bp","Protein","Biotype","coded_by","regulates_gene","translates_to"
"ENST00000383070.2","SRY-201",828,"204aa"," Protein coding","ENSG00000184895",,"SRY_HUMAN"
"ENSMUST00000091178.2","SRY-201",1188,"395aa"," Protein coding","ENSMUSG00000069036",,
"ENSPTRT00000041956.4","SRY-201",615,"204aa"," Protein coding","ENSPTRG00000022469",,
,,,,,,,
"ENST00000330949.3","SOX1-201",4558,"391aa"," Protein coding","ENSG00000182968",,"SOX1_HUMAN"
"ENST00000245479.3","SOX9-201",3931,"509aa"," Protein coding","ENSG00000125398",,"SOX9_HUMAN"
,,,,,,,
"ENST00000373588.9","NR5A1-202",3074,"461aa"," Protein coding","ENSG00000136931",,"STF1_HUMAN"
"ENST00000620110.4","NR5A1-204",2975,"421aa"," Protein coding","ENSG00000136931",,"F1DAM0_HUMAN"
"ENST00000455734.1","NR5A1-203",826,"177aa"," Protein coding","ENSG00000136931",,"Q5T6F6_HUMAN"
"ENST00000373587.3","NR5A1-201",768,"245aa"," Protein coding","ENSG00000136931",,"Q5T6F7_HUMAN"
,,,,,,,
"ENST00000354638.8","OCA2-202",3143,"838aa"," Protein coding","ENSG00000104044",,"P_HUMAN"
"ENST00000353809.9","OCA2-201",3068,"814aa"," Protein coding","ENSG00000104044",,"P_HUMAN"
"ENST00000431101.1","OCA2-203",996,"264aa"," Protein coding","ENSG00000104044",,"C9JDV3"
"ENST00000445578.5","OCA2-204",750,"218aa"," Protein coding","ENSG00000104044",,"C9JLG9"
,,,,,,,
"ENST00000632880.1","OCA2-209",2400,"748aa"," Protein coding","ENSG00000104044",,"A0A0J9YWU3"
"ENST00000631387.1","OCA2-206",2282,"724aa"," Protein coding","ENSG00000104044",,"A0A0J9YXL8"
"ENST00000632166.1","OCA2-207",996,"264aa"," Protein coding","ENSG00000104044",,"C9JDV3"
"ENST00000633787.1","OCA2-211",750,"218aa"," Protein coding","ENSG00000104044",,"C9JLG9"
"ENST00000619392.1","OCA2-205",396,"132aa"," Protein coding","ENSG00000104044",,"A0A0G2JPT4"
"ENST00000632702.1","OCA2-208",581,"No protein"," Processed transcript","ENSG00000104044",,
"ENST00000633230.1","OCA2-210",576,"No protein"," Processed transcript","ENSG00000104044",,
,,,,,,,
"ENSMUST00000032633.12","Oca2-201",3132,"833aa"," Protein coding","ENSMUSG00000030450",,
"ENSMUST00000156886.8","Oca2-206",476,"120aa"," Protein coding","ENSMUSG00000030450",,
"ENSMUST00000155533.2","Oca2-205",456,"59aa"," Protein coding","ENSMUSG00000030450",,
"ENSMUST00000144739.8","Oca2-202",3374,"136aa"," Nonsense mediated decay","ENSMUSG00000030450",,
"ENSMUST00000152693.8","Oca2-203",2708,"307aa"," Nonsense mediated decay","ENSMUSG00000030450",,
"ENSMUST00000154559.2","Oca2-204",651,"No protein"," Processed transcript","ENSMUSG00000030450",,
,,,,,,,
"ENST00000261609.13","HERC2-201",15364,"4834aa"," Protein coding","ENSG00000128731",,"HERC2_HUMAN"
"ENST00000569772.1","HERC2-212",598,"200aa"," Protein coding","ENSG00000128731",,"H3BUQ1_HUMAN"
"ENST00000650509.1","HERC2-214",6668,"1454aa"," Nonsense mediated decay","ENSG00000128731",,"A0A3B3IRP6_HUMAN"
"ENST00000564734.5","HERC2-207",3121,"80aa"," Nonsense mediated decay","ENSG00000128731",,"H3BRG9_HUMAN"
"ENST00000563945.1","HERC2-204",491,"No protein"," Processed transcript","ENSG00000128731",,
"ENST00000649023.1","HERC2-213",472,"No protein"," Processed transcript","ENSG00000128731",,
